"DATE","TIME PERIOD","HICP - Overall index"" (ICP.M.EE.N.000000.4.ANR)"
"2001-11-30","2001Nov","4.2"
"2001-12-31","2001Dec","4.2"
"2002-01-31","2002Jan","4.3"
"2002-02-28","2002Feb","4.5"
"2002-03-31","2002Mar","4.4"
"2002-04-30","2002Apr","4.5"
"2002-05-31","2002May","4.1"
"2002-06-30","2002Jun","3.8"
"2002-07-31","2002Jul","3.3"
"2002-08-31","2002Aug","2.7"
"2002-09-30","2002Sep","2.7"
"2002-10-31","2002Oct","3.1"
"2002-11-30","2002Nov","3.0"
"2002-12-31","2002Dec","2.7"
"2003-01-31","2003Jan","2.5"
"2003-02-28","2003Feb","2.3"
"2003-03-31","2003Mar","2.1"
"2003-04-30","2003Apr","1.2"
"2003-05-31","2003May","0.7"
"2003-06-30","2003Jun","0.5"
"2003-07-31","2003Jul","0.9"
"2003-08-31","2003Aug","1.4"
"2003-09-30","2003Sep","1.5"
"2003-10-31","2003Oct","1.2"
"2003-11-30","2003Nov","1.2"
"2003-12-31","2003Dec","1.2"
"2004-01-31","2004Jan","0.7"
"2004-02-29","2004Feb","0.6"
"2004-03-31","2004Mar","0.7"
"2004-04-30","2004Apr","1.5"
"2004-05-31","2004May","3.7"
"2004-06-30","2004Jun","4.4"
"2004-07-31","2004Jul","4.0"
"2004-08-31","2004Aug","3.9"
"2004-09-30","2004Sep","3.8"
"2004-10-31","2004Oct","4.0"
"2004-11-30","2004Nov","4.5"
"2004-12-31","2004Dec","4.8"
"2005-01-31","2005Jan","4.2"
"2005-02-28","2005Feb","4.6"
"2005-03-31","2005Mar","4.8"
"2005-04-30","2005Apr","4.6"
"2005-05-31","2005May","2.9"
"2005-06-30","2005Jun","3.2"
"2005-07-31","2005Jul","3.9"
"2005-08-31","2005Aug","4.2"
"2005-09-30","2005Sep","4.9"
"2005-10-31","2005Oct","4.5"
"2005-11-30","2005Nov","4.0"
"2005-12-31","2005Dec","3.7"
"2006-01-31","2006Jan","4.6"
"2006-02-28","2006Feb","4.6"
"2006-03-31","2006Mar","4.0"
"2006-04-30","2006Apr","4.3"
"2006-05-31","2006May","4.6"
"2006-06-30","2006Jun","4.4"
"2006-07-31","2006Jul","4.5"
"2006-08-31","2006Aug","5.0"
"2006-09-30","2006Sep","3.8"
"2006-10-31","2006Oct","3.8"
"2006-11-30","2006Nov","4.6"
"2006-12-31","2006Dec","5.1"
"2007-01-31","2007Jan","5.0"
"2007-02-28","2007Feb","4.6"
"2007-03-31","2007Mar","5.6"
"2007-04-30","2007Apr","5.6"
"2007-05-31","2007May","5.9"
"2007-06-30","2007Jun","6.0"
"2007-07-31","2007Jul","6.5"
"2007-08-31","2007Aug","6.1"
"2007-09-30","2007Sep","7.5"
"2007-10-31","2007Oct","8.7"
"2007-11-30","2007Nov","9.3"
"2007-12-31","2007Dec","9.7"
"2008-01-31","2008Jan","11.3"
"2008-02-29","2008Feb","11.5"
"2008-03-31","2008Mar","11.2"
"2008-04-30","2008Apr","11.6"
"2008-05-31","2008May","11.4"
"2008-06-30","2008Jun","11.5"
"2008-07-31","2008Jul","11.2"
"2008-08-31","2008Aug","11.1"
"2008-09-30","2008Sep","10.8"
"2008-10-31","2008Oct","10.1"
"2008-11-30","2008Nov","8.5"
"2008-12-31","2008Dec","7.5"
"2009-01-31","2009Jan","4.7"
"2009-02-28","2009Feb","3.9"
"2009-03-31","2009Mar","2.5"
"2009-04-30","2009Apr","0.9"
"2009-05-31","2009May","0.3"
"2009-06-30","2009Jun","-0.5"
"2009-07-31","2009Jul","-0.4"
"2009-08-31","2009Aug","-0.7"
"2009-09-30","2009Sep","-1.7"
"2009-10-31","2009Oct","-2.1"
"2009-11-30","2009Nov","-2.1"
"2009-12-31","2009Dec","-1.9"
"2010-01-31","2010Jan","-1.0"
"2010-02-28","2010Feb","-0.3"
"2010-03-31","2010Mar","1.4"
"2010-04-30","2010Apr","2.5"
"2010-05-31","2010May","2.8"
"2010-06-30","2010Jun","3.4"
"2010-07-31","2010Jul","2.7"
"2010-08-31","2010Aug","2.8"
"2010-09-30","2010Sep","3.8"
"2010-10-31","2010Oct","4.5"
"2010-11-30","2010Nov","5.0"
"2010-12-31","2010Dec","5.4"
"2011-01-31","2011Jan","5.1"
"2011-02-28","2011Feb","5.5"
"2011-03-31","2011Mar","5.1"
"2011-04-30","2011Apr","5.4"
"2011-05-31","2011May","5.5"
"2011-06-30","2011Jun","4.9"
"2011-07-31","2011Jul","5.3"
"2011-08-31","2011Aug","5.6"
"2011-09-30","2011Sep","5.4"
"2011-10-31","2011Oct","4.7"
"2011-11-30","2011Nov","4.4"
"2011-12-31","2011Dec","4.1"
"2012-01-31","2012Jan","4.7"
"2012-02-29","2012Feb","4.4"
"2012-03-31","2012Mar","4.7"
"2012-04-30","2012Apr","4.3"
"2012-05-31","2012May","4.1"
"2012-06-30","2012Jun","4.4"
"2012-07-31","2012Jul","4.1"
"2012-08-31","2012Aug","4.2"
"2012-09-30","2012Sep","4.1"
"2012-10-31","2012Oct","4.2"
"2012-11-30","2012Nov","3.8"
"2012-12-31","2012Dec","3.6"
"2013-01-31","2013Jan","3.7"
"2013-02-28","2013Feb","4.0"
"2013-03-31","2013Mar","3.8"
"2013-04-30","2013Apr","3.4"
"2013-05-31","2013May","3.6"
"2013-06-30","2013Jun","4.1"
"2013-07-31","2013Jul","4.0"
"2013-08-31","2013Aug","3.6"
"2013-09-30","2013Sep","2.6"
"2013-10-31","2013Oct","2.2"
"2013-11-30","2013Nov","2.1"
"2013-12-31","2013Dec","2.0"
"2014-01-31","2014Jan","1.6"
"2014-02-28","2014Feb","1.1"
"2014-03-31","2014Mar","0.7"
"2014-04-30","2014Apr","0.8"
"2014-05-31","2014May","0.6"
"2014-06-30","2014Jun","0.3"
"2014-07-31","2014Jul","0.0"
"2014-08-31","2014Aug","-0.2"
"2014-09-30","2014Sep","0.2"
"2014-10-31","2014Oct","0.5"
"2014-11-30","2014Nov","0.0"
"2014-12-31","2014Dec","0.1"
"2015-01-31","2015Jan","-0.5"
"2015-02-28","2015Feb","-0.2"
"2015-03-31","2015Mar","0.0"
"2015-04-30","2015Apr","0.4"
"2015-05-31","2015May","0.5"
"2015-06-30","2015Jun","0.3"
"2015-07-31","2015Jul","0.1"
"2015-08-31","2015Aug","0.2"
"2015-09-30","2015Sep","-0.3"
"2015-10-31","2015Oct","0.0"
"2015-11-30","2015Nov","0.5"
"2015-12-31","2015Dec","-0.2"
"2016-01-31","2016Jan","0.1"
"2016-02-29","2016Feb","0.4"
"2016-03-31","2016Mar","0.5"
"2016-04-30","2016Apr","0.0"
"2016-05-31","2016May","0.0"
"2016-06-30","2016Jun","0.4"
"2016-07-31","2016Jul","0.8"
"2016-08-31","2016Aug","1.1"
"2016-09-30","2016Sep","1.7"
"2016-10-31","2016Oct","1.0"
"2016-11-30","2016Nov","1.4"
"2016-12-31","2016Dec","2.4"
"2017-01-31","2017Jan","2.8"
"2017-02-28","2017Feb","3.4"
